"","user_id","observation_count","user.login","user.name"
"1",1768946,699,"stephenjjbrown","Stephen"
"2",2184188,694,"james_arthura","James A. Holland"
"3",4426975,691,"amanda_inthewild","Amanda B"
"4",4609915,671,"sublettes",NA
"5",2494062,662,"erikoid","Erik Erbes"
"6",880450,660,"runningvegan","Kayla Brown"
"7",150454,645,"david99","David Rankin"
"8",10999,642,"rappman",""
"9",5083745,633,"ashgreyskies","Anna Hougardy"
"10",1500771,632,"andrewcayer","Andrew Cayer"
"11",1197,626,"davidpcraig","David P. Craig"
"12",3960107,621,"petezani","Pete Zani"
"13",1156539,612,"tzaddi","Richard R. Cordero"
"14",4915,612,"birdgal5","Dee Warenycia"
"15",539881,598,"cbruner","Camden Bruner"
"16",504456,598,"lysandra","Lysandra Pyle"
"17",335817,598,"maureen-j-jules",""
"18",3074460,596,"gentilcore","Dominic Gentilcore"
"19",1478862,593,"vanjinbo","Carol"
"20",3531500,588,"philipspencer","Philip Spencer"
"21",2222311,585,"katelink","Katelin K"
"22",510442,584,"hfb","Heather Fulton-Bennett"
"23",304776,584,"bit","Bitty A. Roy"
"24",240978,584,"marissa6","Marissa Lane-Massee"
"25",1598198,576,"grassgirl","grassgirl"
"26",5715361,573,"forever1057","Adam Dibley"
"27",5858303,569,"inkadillo","Zev D."
"28",5575964,569,"eighthartgreavs","Mia Meyer"
"29",2589288,567,"sarahaceae",""
"30",387421,567,"seymoregulls","Seymore Gulls"
"31",1762361,546,"abreinin",NA
"32",3258141,538,"marieheub","Marie Heuberger"
"33",380213,525,"wenatcheeb","Lisa H. Robinson"
"34",378755,524,"jensanford","Jen Sanford"
"35",2379782,522,"plantsfungietc","Bobby Valentine"
"36",642,521,"biosam","Sam McNally"
"37",950846,520,"mcmerlla","Merlla McLaughlin"
"38",3116192,515,"girlysound","Carson"
"39",818691,511,"lesliedavis",NA
"40",2949453,509,"fishaspey","Scott O'Donnell"
"41",3448676,504,"jareddodson",NA
"42",2448463,504,"stevencrum","Steven Crum"
"43",2721188,502,"emily_jeanne",NA
"44",178946,502,"ksayce","Kathleen Sayce"
"45",4425,501,"birdernaturalist","Rich Hoyer"
"46",3803384,500,"michael_long","Michael Long"
"47",5447305,499,"katharinadavitt","Katharina Davitt"
"48",754260,499,"ellenwatrous","Ellen Watrous"
"49",2366875,495,"bwester","Blair"
"50",1652740,493,"sauviejane","Jane Hartline"
"51",3494,490,"damontighe","Damon Tighe"
"52",2363455,482,"elly22","Elly Hutchinson"
"53",419060,482,"lynnhmb","Lynn Jackson"
"54",1940703,480,"anna872","Anna Ramthun"
"55",174086,470,"actitis","Hendrik Herlyn"
"56",5252327,468,"kddrop","Kay"
"57",34488,467,"pileated","Casey H. Richart"
"58",267639,445,"etantrah","Nate Hartley"
"59",4790037,444,"liam_gerry","Liam Gerry"
"60",5065233,443,"detritvs","Ari"
"61",4089220,443,"howard_erbe99","Howard W Erbe"
"62",226045,442,"joshuadoby","Joshua Doby"
"63",295807,441,"adambryant","Adam Bryant"
"64",3083986,437,"cozybones",NA
"65",5557121,433,"ceallworth","Clark Allworth"
"66",20270,431,"lorri-gong","Lorri Gong"
"67",550238,430,"nancybee","Nancy Betty"
"68",23429,429,"nils2","Nils N"
"69",824813,424,"aimlow_flyhigh","DÄ“tto"
"70",277264,424,"smcknight","S McKnight"
"71",6987941,423,"digitaldarling","Gwendy"
"72",2702278,423,"isaacklementis","Isaac Klementis"
"73",282384,423,"anngoddard","Ann Goddard"
"74",994488,419,"ficuscarica","Joseph Ycaza"
"75",35952,414,"petrelharp",NA
"76",1245013,412,"justin300","Justin Wisner"
"77",454307,412,"suzanne53",""
"78",3064171,411,"fernsibley","Fern"
"79",3923775,410,"season_of_sticks","Ash Gill"
"80",882715,410,"whitneybailey",""
"81",4170814,403,"bogarm","Mike Bogar"
"82",2333647,401,"penumbra","Christopher Haindel"
"83",2926760,400,"cgoodfel",NA
"84",251866,400,"pengelmeyer","Paul Engelmeyer"
"85",2449414,399,"jamesgrasstoucher","James Hershiser"
"86",770229,399,"englerj","Joe Engler"
"87",1489657,398,"lizarddan60","Dan Cozart"
"88",1117485,397,"oregonbirder0","Oregon Birder"
"89",574477,397,"pinus_taeda",NA
"90",4030640,395,"corinneschroeder","Corinne Schroeder"
"91",785779,394,"wowokayyes","Matt Wallace"
"92",440899,394,"bethanymckenzie","Bethany Mckenzie"
"93",3830243,393,"jason_donatelli","Jason Donatelli"
"94",12665,388,"hexapod","Damion Coe"
"95",2138281,387,"tomcruiise",NA
"96",1553539,387,"tobiaspolicha","Tobias Policha"
"97",1387504,387,"rrcheek","Rebecca R Cheek"
"98",752114,386,"stephaniehazen","Stephanie Hazen"
"99",1144630,385,"cosmopterix","Mike Palmer"
"100",2413043,383,"pualanid","Pualani D"
"101",179375,382,"prairiefarmer","Bob Hansen"
"102",734621,381,"criswaller","Cris Waller"
"103",1771096,379,"pamhayes",NA
"104",130062,376,"jherime","Jherime L. Kellermann"
"105",435490,372,"sparrowhawke67",NA
"106",4283782,371,"pctpaul","Paul Massee"
"107",1434409,369,"cschelz7",NA
"108",5835350,367,"jadale",NA
"109",1348844,367,"loganjlbradley","Logan J.L. Bradley"
"110",5697546,365,"tephra_bates","Tephra Bates"
"111",3957505,365,"rubybee","Brooke Ruby"
"112",2808558,365,"kelseyhayes","kelseyhayes"
"113",3402463,359,"monolith_of_phobos","Marshall"
"114",28958,358,"philippwickey","Philipp Wickey"
"115",232380,356,"dnewberry","Daniel Newberry"
"116",3360661,354,"cacunningham","Casey Cunningham"
"117",536433,354,"reilly1028","Reilly"
"118",3042547,351,"tntgal1776",NA
"119",514160,349,"birder0288",NA
"120",264861,348,"brandonwoo","Brandon Woo"
"121",1603802,347,"jamesjarrett00",""
"122",135023,347,"ladydiha",NA
"123",1246946,346,"margret_harburg",""
"124",471229,345,"mattsson",NA
"125",1934709,344,"nmrvelj",NA
"126",1006673,343,"patrickperish","Patrick Perish"
"127",231737,341,"deboas","Ben P"
"128",4358702,340,"janicecrane1","Janice Crane"
"129",2071217,339,"macrhybopsis",NA
"130",1702270,338,"laurelofthemountains","Laurel Fero"
"131",409684,338,"nancy-gws",NA
"132",228090,338,"zharkikh","Andrey Zharkikh"
"133",2213195,337,"jfeathersmith",""
"134",2271692,335,"hockeysocks",""
"135",515863,334,"erik-jules","Erik Jules"
"136",459290,334,"kelphunter",""
"137",2970787,332,"susanalbright","susanalbright"
"138",140612,332,"aliashraf","Ali Ashraf"
"139",444470,331,"andy71","Andy Kleinhesselink"
"140",232932,330,"sydnianajones","Sydney Gerig"
"141",1173908,328,"craterlakeslc","Crater Lake Education Rangers"
"142",1826345,327,"nandhi82","Nathan Anderson"
"143",385233,327,"bhallberg",""
"144",1258627,326,"mario-hugo","Mario"
"145",675078,326,"bubblekid",""
"146",236601,325,"corbettgs",NA
"147",5311752,323,"cascott","C A Scott"
"148",1094975,323,"jhorthos","James H. Thomas"
"149",582232,322,"dragonwings",NA
"150",1475633,321,"lgb1",""
"151",767362,321,"pangolinzen",""
"152",5282320,320,"folsomchrisonblues","Chris Folsom"
"153",1558658,320,"jared_h","Jared Hedges"
"154",2629275,319,"wingman68",NA
"155",1673609,319,"fishminder","Maurice Renaud"
"156",2966330,317,"stodd321","Shane"
"157",4059745,316,"sphyrapicus","Jamie Simmons"
"158",847079,316,"ejaworski","Emma Jaworski"
"159",774446,314,"strix1nebulosa","Meghan May"
"160",715012,314,"cronus42","James"
"161",52828,314,"andybridges","Andy Bridges"
"162",1434444,312,"monsterella","Erin Ventress"
"163",1663530,311,"brilynbrecka","Brilyn Brecka"
"164",5370405,310,"storygirlcindy",NA
"165",32912,310,"debaraj","Debara"
"166",5320106,309,"rilocybin",NA
"167",781032,309,"morganstickrod","Morgan Stickrod"
"168",5711610,303,"selenesol","Gaia Faas"
"169",55236,303,"coreyjlange","Corey Lange"
"170",2873,303,"jmaughn","James Maughn"
"171",4163314,302,"bergld",NA
"172",1266046,302,"lowgravitas",""
"173",1888570,301,"courtney_m","Courtney Matzke"
"174",948220,301,"bettsm",NA
"175",1119443,299,"lindazahl",NA
"176",966456,296,"seeddweeb","Gabriel Campbell"
"177",59822,296,"observerjosh","Josh/Joshua"
"178",18327,296,"whiteoak","Alan Weakley"
"179",5288062,294,"jprange7","Julia Prange"
"180",56605,294,"sitkaconnor","Connor"
"181",5384806,293,"eva_228","Eva Haykin"
"182",4311211,291,"rwwill1951","Rick Williams"
"183",1933144,291,"mihow","Michael Bunsen"
"184",786616,291,"jvrilakas",NA
"185",1462562,290,"steveshunk","Steve Shunk"
"186",86246,290,"dbarber","Deborah Barber"
"187",798366,289,"wildgifts","Peri Lee Pipkin"
"188",65334,289,"wapatoby",NA
"189",622268,288,"prccmg",""
"190",46945,288,"abe","T. Abe Lloyd"
"191",7049416,287,"loangel","Lo Angel"
"192",2858820,287,"camasranch",NA
"193",399356,285,"peachykeehn","Jade Keehn"
"194",99753,284,"rebeccalexa","Rebecca Lexa"
"195",2862231,283,"otes",NA
"196",1655193,282,"jesse171","Jesse Putnam"
"197",1597614,282,"david2222",""
"198",611052,279,"mbeug","Matt Benotsch"
"199",1816805,277,"peterzika","Peter Zika"
"200",3433094,276,"armstrong1810",NA
"201",433308,275,"akreager","Annie Kreager"
"202",60717,274,"paulbloch",NA
"203",1492386,273,"michelesims","Michele"
"204",455184,273,"radamisprime","michael rada"
"205",1422482,271,"codyfeuer",NA
"206",521876,271,"kurtsteinbach","Kurt Steinbach"
"207",1443390,270,"maartenvanotterloo","Maarten Van Otterloo"
"208",122574,270,"ldibiccari","Lauren diBiccari"
"209",930510,269,"upsideoutlook32",""
"210",839446,269,"coylec","Carolyn Coyle"
"211",306415,269,"rogerbrewer","Roger Brewer"
"212",1289434,268,"hedgehog32",NA
"213",5493585,267,"pmcoleman",NA
"214",3114708,267,"and_allies",NA
"215",2375190,266,"erikandere",""
"216",1748558,266,"mbstevens",""
"217",35478,266,"mrfish33","Mike"
"218",2550373,265,"dianar2","Diana R"
"219",922684,265,"ktorry",NA
"220",975206,264,"micahfreedman","Micah Freedman"
"221",8815,264,"evergreengirl","T Lasswell"
"222",970009,262,"brandoncorder","Brandon Corder"
"223",678742,262,"shearwater13","Christopher Lindsey"
"224",2914394,261,"rmwintigard",NA
"225",1178728,261,"corndog",""
"226",462,261,"barbarab","Barbara Banfield"
"227",2619622,259,"kurttrzcinski","Kurt Trzcinski"
"228",52839,259,"glmory","Jesse Rorabaugh"
"229",4053320,258,"geobob","Bob Earle"
"230",2885399,258,"andyneill","Andy Neill"
"231",793893,258,"mleongkee",NA
"232",1204524,255,"sami17","Sami Baker"
"233",2500312,253,"lukeruediger",""
"234",2001592,252,"anna_r14","Anna"
"235",1084937,252,"ivanekblom",""
"236",3551858,251,"wildingwildling","Megan Malarcher"
"237",2055598,251,"jacoblipscomb","Jacob Lipscomb"
"238",1451847,251,"condorspore","Connor"
"239",1447015,251,"phylismcintosh","Phylis McIntosh"
"240",268175,251,"dayhiker",""
"241",3162303,250,"tessd","Tess Doornink"
"242",1320017,250,"yardude59",NA
"243",220924,250,"natemartineau","Nate Martineau"
"244",1324579,249,"kkellermz",NA
"245",4205504,248,"ahsthorn","Anthony Shannon-Thorn"
"246",727346,248,"clevergeekess","CleverGeekess"
"247",4926511,247,"captainlibs",NA
"248",4160699,242,"cbentley7",NA
"249",1992240,242,"mleveridge","Max Leveridge"
"250",74635,242,"azureblu",NA
"251",1131447,241,"susankirkbride","Susan Kirkbride"
"252",1124579,241,"ericbutler",NA
"253",677563,241,"adamraycarson","Adam"
"254",6692178,240,"regill","REGill"
"255",5480104,240,"licorice_bark_witch","Laurel Miller"
"256",2168408,240,"currenfrasch","Curren Frasch"
"257",2383463,239,"zadech",NA
"258",1074805,239,"desertcyclist","TC"
"259",1,238,"kueda","Ken-ichi Ueda"
"260",103609,237,"fenrirlo","Fenrir Lombardi"
"261",8682,237,"andrea_adams-morden","Andrea Adams-Morden"
"262",1301041,236,"kbrizgys","Kathleen Tarlow"
"263",1223195,236,"rkangas7",NA
"264",811443,236,"rogersteeb","manzanita-pct"
"265",758277,236,"kmooser",NA
"266",505269,236,"rileyfortierii","Riley Fortier"
"267",22589,235,"sambiology","Sam Kieschnick"
"268",1436485,234,"lgullikson",""
"269",1106562,234,"outnabout---","Mark Pollock"
"270",178231,234,"paulgordon",NA
"271",2649863,232,"kevin-massey","Kevin Nickolas Massey"
"272",354289,232,"awaldrop18",""
"273",3920823,231,"m-stanton","M. Stanton"
"274",305683,231,"zdanko","Zachary Dankowicz"
"275",97928,231,"mmkimberly",""
"276",1356469,229,"ken130","Ken Rawles"
"277",2916004,227,"lcwimmer1",""
"278",317500,227,"davidcbailey","David C. Bailey"
"279",1740953,226,"bekawestberg","Beka Westberg"
"280",4161909,225,"grayces",NA
"281",3186248,225,"howardkopp","Howard"
"282",544455,225,"lilyserrao","Lily Serrao"
"283",3053443,224,"jana266","Jana Patterson"
"284",2577237,224,"tedweber1","Ted Weber"
"285",6896454,221,"softestmoss","Moss (they/them)"
"286",479395,220,"wiebej","Jake Wiebe"
"287",5924600,219,"yoursweetremedy",NA
"288",1185504,219,"kiwikiu","Mason Maron"
"289",2429967,218,"mark1019","Mark Byram"
"290",519039,218,"dionnemejia",NA
"291",3656212,215,"kelseyrk","Kelsey Kennedy"
"292",3293472,215,"tsuga_homophylla","Patrick"
"293",3157610,215,"tkp95","tkp"
"294",2738529,215,"gregg29","Gregg Below-Fi"
"295",70692,215,"jhigbie",NA
"296",4130296,214,"rbuschman",NA
"297",2658676,214,"christinags",NA
"298",472433,214,"michaelpdx",NA
"299",271351,214,"tom_julie",""
"300",1339029,213,"jpr2","James Riser"
"301",866533,213,"trevor_schalla","Trevor Schalla"
"302",6930,212,"tgosliner","Terry Gosliner"
"303",2991,210,"sea-kangaroo",""
"304",5639414,209,"star22233","Brogan Rabe"
"305",1627426,209,"tuula11","Tuula Rebhahn"
"306",270972,209,"caitlinrushlow","Caitlin Rushlow"
"307",269364,209,"janicereid","Janice Reid"
"308",4024404,208,"night-owl-naturals","night owl naturals"
"309",3051485,208,"dangavin","Dan Gavin"
"310",1767359,208,"hayleykolding","Hayley Kolding"
"311",516849,208,"al_kordesch","Al Kordesch"
"312",1015058,207,"haleyfaringer","Haley Faringer"
"313",354308,207,"maryjomosby","Mary Jo Mosby"
"314",2043064,206,"dnfrank",NA
"315",2026762,206,"dee61","Dee"
"316",1660306,206,"krmartin","Kevin Martin"
"317",1607414,206,"selloana","Chip Greening"
"318",2454451,205,"beccn","Beccn"
"319",1162901,205,"willpearson",""
"320",484557,205,"jseo","John McKay"
"321",730243,204,"winterwren22",""
"322",1367414,203,"lokidokienoki","Leaflit and Loki"
"323",782696,203,"steph_mo","Steph"
"324",34327,203,"toosphexy","Roger Peet"
"325",469769,202,"mpuffer",""
"326",264586,201,"adrienne_stclair","Adrienne Basey St. Clair (she/her)"
"327",6023272,199,"raeraerae","Rae Snyder"
"328",944057,199,"cat32","Cat Eckrode"
"329",816767,199,"jeaniet",""
"330",721636,199,"carly7","Carly Danielle"
"331",73984,199,"daveincamas","Dave Miller"
"332",2585416,198,"carawhite","Cara White"
"333",1113981,198,"dnapear",""
"334",893567,198,"pneumonium",NA
"335",24570,198,"jeff_lesh","Jeff Lesh"
"336",2724775,197,"georver","Norm"
"337",1879511,197,"megeconomy",NA
"338",877115,196,"birdnerd722","Hannah Kornbrath"
"339",721912,196,"maggieonline","Maggie Starr"
"340",6721477,195,"callotchrissy","callotchrissy"
"341",3008488,195,"joneskir","Kirsten M Jones"
"342",3908595,194,"rynxs","Ryan Sorrells"
"343",4096659,193,"david_kollen","David Kollen"
"344",1949361,193,"jillpdxer",NA
"345",743422,193,"nickramsey","Nick Ramsey"
"346",147487,193,"ryanandrews","Ryan Andrews"
"347",2774412,192,"smor-plants",NA
"348",489156,192,"chrisadlam","Chris Adlam"
"349",3855273,191,"hrontajkpa",NA
"350",1770366,190,"priscillahiratsuka",NA
"351",752983,189,"milesca",""
"352",7318816,188,"lkjohnson1",NA
"353",824737,188,"kerz","Chris R."
"354",2179776,187,"rangernik707",NA
"355",1539907,187,"pdxmartha",""
"356",108999,187,"pdxhabitat","Christian Haaning"
"357",440600,186,"demetrius","Demetrius Mustain"
